time,center_x,center_y,smooth_x,smooth_y,confidence
21:51:11.130477,249,274,249,274,0.894
21:51:11.407149,255,279,250.5,275.25,0.76
21:51:11.542395,259,281,252.62,276.69,0.788
21:51:11.673718,257,280,253.72,277.52,0.827
21:51:11.803696,263,280,256.04,278.14,0.807
21:51:11.931535,252,282,255.03,279.1,0.789
21:51:12.150114,254,283,254.77,280.08,0.652
21:51:12.273545,263,282,256.83,280.56,0.612
21:51:12.393037,246,282,254.12,280.92,0.77
21:51:12.551833,260,282,255.59,281.19,0.784
21:51:12.694238,244,281,252.69,281.14,0.826
21:51:12.846313,249,281,251.77,281.11,0.765
21:51:13.031699,254,282,252.33,281.33,0.733
21:51:13.274943,260,284,254.25,282.0,0.753
21:51:13.481443,254,284,254.18,282.5,0.572
21:51:13.608598,367,280,282.39,281.87,0.505
21:51:13.727617,367,280,303.54,281.41,0.505
21:51:13.849675,276,282,296.66,281.55,0.624
21:51:14.094871,404,283,404,283,0.638
21:51:14.574447,326,286,326,286,0.596
21:51:14.693988,342,286,330.0,286.0,0.814
21:51:14.810814,329,286,329.75,286.0,0.618
21:51:14.928403,339,285,332.06,285.75,0.834
21:51:15.044202,348,287,336.05,286.06,0.87
21:51:15.159570,354,287,340.54,286.3,0.886
21:51:15.269582,354,286,343.9,286.22,0.87
21:51:15.381907,358,286,347.43,286.17,0.865
21:51:15.502302,342,287,346.07,286.38,0.864
21:51:15.603812,304,286,335.55,286.28,0.798
21:51:15.715333,317,282,330.91,285.21,0.683
21:51:15.845879,319,284,327.94,284.91,0.829
21:51:15.952429,310,282,323.45,284.18,0.622
21:51:16.040752,280,284,312.59,284.14,0.723
21:51:16.133599,280,284,304.44,284.1,0.723
21:51:16.226053,278,282,297.83,283.58,0.649
21:51:16.312101,329,281,305.62,282.93,0.713
21:51:16.401912,276,282,298.22,282.7,0.747
21:51:16.490885,273,282,291.91,282.52,0.781
21:51:16.580702,265,284,285.18,282.89,0.701
21:51:16.672241,354,282,302.39,282.67,0.629
21:51:16.781552,259,284,291.54,283.0,0.665
21:51:16.880597,268,282,285.66,282.75,0.636
21:51:16.976828,265,283,280.49,282.81,0.699
21:51:17.079163,259,283,275.12,282.86,0.843
21:51:17.304929,264,282,272.34,282.65,0.852
21:51:17.410745,255,282,268.0,282.48,0.829
21:51:17.500132,265,282,267.25,282.36,0.757
21:51:17.587079,279,282,270.19,282.27,0.723
21:51:17.675064,296,282,276.64,282.2,0.585
21:51:17.784907,270,282,274.98,282.15,0.836
21:51:17.889840,287,282,277.99,282.11,0.762
21:51:17.991850,257,281,272.74,281.84,0.847
21:51:18.094953,264,282,270.55,281.88,0.831
21:51:18.197837,264,282,268.92,281.91,0.831
21:51:18.303289,280,280,271.69,281.43,0.647
21:51:18.412226,304,281,279.77,281.32,0.549
21:51:18.834392,283,276,283,276,0.536
21:51:18.991997,330,270,294.75,274.5,0.778
21:51:19.132642,318,266,300.56,272.38,0.675
21:51:19.281139,305,265,301.67,270.53,0.749
21:51:19.418258,310,265,303.75,269.15,0.829
21:51:19.532022,311,265,305.57,268.11,0.803
21:51:19.639287,310,266,306.67,267.58,0.806
21:51:19.757584,311,265,307.76,266.94,0.825
21:51:19.878227,310,265,308.32,266.45,0.823
21:51:19.992544,298,263,305.74,265.59,0.616
21:51:20.096949,305,263,305.55,264.94,0.782
21:51:20.289653,299,262,299,262,0.611
21:51:20.389973,323,265,305.0,262.75,0.803
21:51:20.497817,321,265,309.0,263.31,0.547
21:51:20.598084,329,263,314.0,263.23,0.69
21:51:20.700727,339,263,320.25,263.18,0.665
21:51:20.798398,348,265,327.19,263.63,0.79
21:51:20.896316,341,266,330.64,264.22,0.835
21:51:20.992595,344,267,333.98,264.92,0.867
21:51:21.096250,343,266,336.24,265.19,0.812
21:51:21.188913,343,264,337.93,264.89,0.788
21:51:21.294276,332,262,336.44,264.17,0.562
21:51:22.056219,273,260,273,260,0.509
21:51:22.174845,273,260,273.0,260.0,0.509
21:51:22.302769,284,264,275.75,261.0,0.792
21:51:22.430679,275,265,275.56,262.0,0.82
21:51:22.520678,269,262,273.92,262.0,0.706
21:51:22.617131,261,266,270.69,263.0,0.865
21:51:22.741749,255,266,266.77,263.75,0.88
21:51:22.932280,279,267,269.83,264.56,0.773
21:51:23.046071,275,266,271.12,264.92,0.728
21:51:23.162865,242,266,263.84,265.19,0.603
21:51:23.272698,258,266,262.38,265.39,0.859
21:51:23.368115,261,265,262.03,265.3,0.832
21:51:23.467132,263,264,262.28,264.97,0.814
21:51:23.570233,263,264,262.46,264.73,0.824
21:51:23.670171,253,265,260.09,264.8,0.795
21:51:23.772698,262,266,260.57,265.1,0.785
21:51:23.879490,252,267,258.43,265.57,0.849
21:51:23.989459,254,266,257.32,265.68,0.743
21:51:24.089006,253,265,256.24,265.51,0.648
21:51:24.188951,267,265,258.93,265.38,0.672
21:51:24.287045,237,264,253.45,265.04,0.749
21:51:24.389926,236,268,249.09,265.78,0.772
21:51:24.479048,238,264,246.31,265.33,0.781
21:51:24.571515,234,264,243.24,265.0,0.788
21:51:24.674743,232,264,240.43,264.75,0.741
21:51:24.778311,236,261,239.32,263.81,0.757
21:51:24.878632,250,264,241.99,263.86,0.649
21:51:24.971899,251,265,244.24,264.14,0.743
21:51:25.069366,245,264,244.43,264.11,0.739
21:51:25.185559,240,262,243.32,263.58,0.748
21:51:25.299220,201,268,232.74,264.69,0.689
21:51:25.394757,219,265,229.31,264.76,0.555
21:51:25.936039,291,269,291,269,0.798
21:51:26.016879,292,269,291.25,269.0,0.821
21:51:26.099340,292,269,291.44,269.0,0.821
21:51:26.186226,290,269,291.08,269.0,0.779
21:51:26.265742,292,269,291.31,269.0,0.793
21:51:26.347148,281,270,288.73,269.25,0.787
21:51:26.425727,284,268,287.55,268.94,0.775
21:51:26.510023,291,269,288.41,268.95,0.773
21:51:26.589823,292,268,289.31,268.71,0.814
21:51:26.672039,290,268,289.48,268.54,0.813
21:51:26.753703,291,267,289.86,268.15,0.82
21:51:26.832498,279,268,287.15,268.11,0.753
21:51:26.918115,273,267,283.61,267.84,0.766
21:51:27.631773,323,263,323,263,0.822
21:51:27.722884,323,263,323.0,263.0,0.822
21:51:27.799556,326,264,323.75,263.25,0.875
21:51:27.874559,326,264,324.31,263.44,0.87
21:51:27.956515,325,264,324.48,263.58,0.854
21:51:28.035465,326,264,324.86,263.68,0.846
21:51:28.112144,326,264,325.15,263.76,0.862
21:51:28.198798,324,264,324.86,263.82,0.845
21:51:28.281284,324,264,324.65,263.87,0.845
21:51:28.354972,327,264,325.23,263.9,0.849
21:51:28.438480,325,266,325.18,264.42,0.827
21:51:28.516187,325,264,325.13,264.32,0.829
21:51:28.595307,321,266,324.1,264.74,0.814
