time,center_x,center_y,smooth_x,smooth_y,confidence
21:51:28.675115,326,265,324.57,264.8,0.825
21:51:28.757179,329,264,325.68,264.6,0.836
21:51:28.840274,317,265,323.51,264.7,0.835
21:51:28.928591,316,264,321.63,264.53,0.824
21:51:29.010766,319,265,320.97,264.65,0.835
21:51:29.087061,317,263,319.98,264.23,0.804
21:51:29.166789,303,263,315.74,263.93,0.741
21:51:29.434076,308,262,308,262,0.661
21:51:29.524255,296,262,305.0,262.0,0.706
21:51:29.609646,308,264,305.75,262.5,0.684
21:51:29.705141,304,266,305.31,263.38,0.752
21:51:29.796126,300,264,303.98,263.53,0.73
21:51:29.903537,299,264,302.74,263.65,0.762
21:51:29.987664,302,264,302.55,263.74,0.752
21:51:30.070125,296,264,300.92,263.8,0.757
21:51:30.487301,292,274,292,274,0.74
21:51:30.654245,278,279,278,279,0.584
21:51:30.823695,278,289,278,289,0.876
21:51:30.902966,284,291,279.5,289.5,0.89
21:51:30.983808,265,291,275.88,289.88,0.88
21:51:31.063813,286,291,278.41,290.16,0.874
21:51:31.144871,268,291,275.8,290.37,0.88
21:51:31.225778,268,291,273.85,290.53,0.88
21:51:31.310356,270,291,272.89,290.64,0.883
21:51:31.389276,264,291,270.67,290.73,0.873
21:51:31.467316,262,291,268.5,290.8,0.871
21:51:31.551751,263,291,267.13,290.85,0.881
21:51:31.627446,280,291,270.34,290.89,0.883
21:51:31.709091,283,291,273.51,290.92,0.881
21:51:31.796752,286,290,276.63,290.69,0.872
21:51:31.879902,285,285,278.72,289.26,0.899
21:51:32.366927,283,264,283,264,0.758
21:51:32.446271,283,264,283.0,264.0,0.838
21:51:32.541734,290,257,284.75,262.25,0.864
21:51:32.639621,290,258,286.06,261.19,0.854
21:51:32.736160,295,256,288.3,259.89,0.818
21:51:32.831120,293,256,289.47,258.92,0.814
21:51:32.917321,293,256,290.35,258.19,0.814
21:51:32.996929,282,256,288.27,257.64,0.864
21:51:33.074741,285,256,287.45,257.23,0.831
21:51:33.157622,289,257,287.84,257.17,0.836
21:51:33.235246,286,255,287.38,256.63,0.82
21:51:33.316637,285,258,286.78,256.97,0.805
21:51:33.398884,286,256,286.59,256.73,0.825
21:51:33.474244,290,254,287.44,256.05,0.849
21:51:33.553768,290,257,288.08,256.29,0.822
21:51:33.635490,293,257,289.31,256.46,0.822
21:51:33.715413,291,256,289.73,256.35,0.85
21:51:33.804368,296,254,291.3,255.76,0.832
21:51:33.884147,297,254,292.72,255.32,0.818
21:51:33.966598,288,253,291.54,254.74,0.829
21:51:34.048871,303,253,294.41,254.31,0.885
21:51:34.128261,300,250,295.81,253.23,0.845
