time,center_x,center_y,smooth_x,smooth_y,confidence
21:35:56.155866,301,301,301,301,0.9
21:35:56.380504,300,302,300.75,301.25,0.916
21:35:56.521538,305,301,301.81,301.19,0.9
21:35:57.013252,301,302,301.61,301.39,0.905
21:35:57.427070,302,301,301.71,301.29,0.912
21:35:57.669779,304,302,302.28,301.47,0.908
21:35:57.796450,302,302,302.21,301.6,0.895
21:35:57.914537,301,301,301.91,301.45,0.892
21:35:58.025446,300,300,301.43,301.09,0.906
21:35:58.143758,302,301,301.57,301.07,0.907
21:35:58.272554,300,301,301.18,301.05,0.907
21:35:58.402012,299,301,300.63,301.04,0.907
21:35:58.548446,301,301,300.73,301.03,0.91
21:35:58.679315,302,301,301.04,301.02,0.901
21:35:58.805414,304,301,301.78,301.02,0.901
21:35:58.943711,300,302,301.34,301.26,0.868
21:35:59.065827,297,302,300.25,301.45,0.9
21:35:59.181675,298,302,299.69,301.58,0.905
21:35:59.304943,300,301,299.77,301.44,0.897
21:35:59.739153,299,301,299.58,301.33,0.874
21:35:59.944104,299,301,299.43,301.25,0.871
21:36:00.110022,301,300,299.82,300.94,0.882
21:36:00.240359,302,300,300.37,300.7,0.872
21:36:00.380425,305,301,301.53,300.78,0.876
21:36:00.544484,302,300,301.64,300.58,0.878
21:36:00.701305,306,300,302.73,300.44,0.869
21:36:00.878874,309,301,304.3,300.58,0.865
21:36:01.001476,309,301,305.47,300.68,0.861
21:36:01.127113,302,301,304.61,300.76,0.871
21:36:01.268796,305,301,304.7,300.82,0.876
21:36:01.405034,306,301,305.03,300.87,0.871
21:36:01.524491,304,301,304.77,300.9,0.864
21:36:01.644282,306,300,305.08,300.67,0.883
21:36:01.763724,305,300,305.06,300.51,0.878
21:36:01.887200,303,300,304.54,300.38,0.882
21:36:02.003388,304,299,304.41,300.03,0.881
21:36:02.127365,304,299,304.31,299.78,0.89
21:36:02.249128,304,299,304.23,299.58,0.881
21:36:02.371660,303,300,303.92,299.69,0.878
21:36:02.494640,302,300,303.44,299.76,0.894
21:36:02.628300,302,299,303.08,299.57,0.888
21:36:02.737250,303,299,303.06,299.43,0.882
21:36:02.852958,303,299,303.05,299.32,0.882
21:36:02.972904,303,300,303.03,299.49,0.889
21:36:03.078055,302,300,302.78,299.62,0.89
21:36:03.196703,301,299,302.33,299.46,0.886
21:36:03.300121,304,298,302.75,299.1,0.875
21:36:03.408233,306,298,303.56,298.82,0.896
21:36:03.515675,305,298,303.92,298.62,0.86
21:36:03.605895,310,298,305.44,298.46,0.811
21:36:03.710204,304,298,305.08,298.35,0.821
21:36:03.826473,304,298,304.81,298.26,0.821
21:36:03.948907,315,299,307.36,298.45,0.69
21:36:04.063368,326,300,312.02,298.83,0.853
21:36:04.158879,327,300,315.76,299.13,0.888
21:36:04.250762,328,300,318.82,299.34,0.911
21:36:04.345160,329,300,321.37,299.51,0.909
21:36:04.438539,340,299,326.03,299.38,0.864
21:36:04.536368,320,299,324.52,299.29,0.876
21:36:04.631542,316,297,322.39,298.71,0.549
21:36:04.729951,312,297,319.79,298.29,0.712
21:36:05.022097,305,297,305,297,0.557
21:36:05.119548,278,297,298.25,297.0,0.83
21:36:05.218274,275,297,292.44,297.0,0.869
21:36:05.318739,272,297,287.33,297.0,0.862
21:36:05.409893,256,298,279.5,297.25,0.892
21:36:05.505443,251,298,272.37,297.44,0.849
21:36:05.612472,253,299,267.53,297.83,0.894
21:36:05.712273,251,299,263.4,298.12,0.894
21:36:05.807637,248,299,259.55,298.34,0.89
21:36:05.902588,246,298,256.16,298.26,0.896
21:36:06.000176,261,297,257.37,297.94,0.878
21:36:06.093558,265,297,259.28,297.71,0.682
21:36:06.193582,284,297,265.46,297.53,0.768
21:36:06.285811,300,295,274.09,296.9,0.614
21:36:06.384085,300,295,280.57,296.42,0.614
21:36:06.480400,309,297,287.68,296.57,0.815
21:36:06.574778,306,295,292.26,296.18,0.878
